review_id,text,rating,category,label,clean_text,tokens,token_str,predicted_sentiment,sentiment_confidence,aspects,aspect_sentiments
11,Very intuitive controls. No learning curve at all.,4,electronics,positive,very intuitive controls no learning curve at all,"['intuitive', 'control', 'learning', 'curve']",intuitive control learning curve,negative,0.3535,['software'],{'software': 'neutral'}
12,Seamless pairing with all my devices. Works every time.,4,electronics,positive,seamless pairing with all my devices works every time,"['seamless', 'pairing', 'device', 'work', 'every', 'time']",seamless pairing device work every time,neutral,1.0,['connectivity'],{'connectivity': 'neutral'}
13,The touchscreen is unresponsive in cold weather. Major design flaw.,2,electronics,negative,the touchscreen is unresponsive in cold weather major design flaw,"['touchscreen', 'unresponsive', 'cold', 'weather', 'major', 'design', 'flaw']",touchscreen unresponsive cold weather major design flaw,neutral,1.0,"['display', 'design']","{'display': 'neutral', 'design': 'negative'}"
14,The screen resolution is gorgeous. Colors are vivid and sharp.,4,electronics,positive,the screen resolution is gorgeous colors are vivid and sharp,"['screen', 'resolution', 'gorgeous', 'color', 'vivid', 'sharp']",screen resolution gorgeous color vivid sharp,positive,0.6124,"['display', 'design']","{'display': 'positive', 'design': 'neutral'}"
15,Battery charges quickly and holds charge well. Very satisfied.,4,electronics,positive,battery charges quickly and holds charge well very satisfied,"['battery', 'charge', 'quickly', 'hold', 'charge', 'well', 'satisfied']",battery charge quickly hold charge well satisfied,positive,0.4754,"['battery', 'software']","{'battery': 'positive', 'software': 'neutral'}"
16,Excellent features but the instruction manual is confusing.,3,electronics,neutral,excellent features but the instruction manual is confusing,"['excellent', 'feature', 'instruction', 'manual', 'confusing']",excellent feature instruction manual confusing,neutral,1.0,['software'],{'software': 'neutral'}
17,Setup was super easy and the interface is very intuitive.,4,electronics,positive,setup was super easy and the interface is very intuitive,"['setup', 'super', 'easy', 'interface', 'intuitive']",setup super easy interface intuitive,positive,0.7783,['software'],{'software': 'positive'}
18,Camera quality is stunning. Photos come out crisp and vibrant even in low light.,5,electronics,positive,camera quality is stunning photos come out crisp and vibrant even in low light,"['camera', 'quality', 'stunning', 'photo', 'come', 'crisp', 'vibrant', 'even', 'low', 'light']",camera quality stunning photo come crisp vibrant even low light,positive,0.5994,"['camera', 'build_quality', 'software']","{'camera': 'positive', 'build_quality': 'positive', 'software': 'neutral'}"
19,The screen resolution is gorgeous. Colors are vivid and sharp.,4,electronics,positive,the screen resolution is gorgeous colors are vivid and sharp,"['screen', 'resolution', 'gorgeous', 'color', 'vivid', 'sharp']",screen resolution gorgeous color vivid sharp,positive,0.6124,"['display', 'design']","{'display': 'positive', 'design': 'neutral'}"
20,Customer service was rude and unhelpful. Refused to honor the warranty.,1,electronics,negative,customer service was rude and unhelpful refused to honor the warranty,"['customer', 'service', 'rude', 'unhelpful', 'refused', 'honor', 'warranty']",customer service rude unhelpful refused honor warranty,negative,0.25,['customer_service'],{'customer_service': 'negative'}
21,Device overheats constantly during normal usage. Gets dangerously hot.,1,electronics,negative,device overheats constantly during normal usage gets dangerously hot,"['device', 'overheats', 'constantly', 'normal', 'usage', 'get', 'dangerously', 'hot']",device overheats constantly normal usage get dangerously hot,negative,0.4588,['general'],{'general': 'neutral'}
22,The WiFi connectivity is spotty and drops frequently.,2,electronics,negative,the wifi connectivity is spotty and drops frequently,"['wifi', 'connectivity', 'spotty', 'drop', 'frequently']",wifi connectivity spotty drop frequently,neutral,1.0,['connectivity'],{'connectivity': 'neutral'}
23,The microphone picks up too much background noise during calls.,2,electronics,negative,the microphone picks up too much background noise during calls,"['microphone', 'pick', 'much', 'background', 'noise', 'call']",microphone pick much background noise call,neutral,1.0,['audio'],{'audio': 'neutral'}
24,Camera quality is stunning. Photos come out crisp and vibrant even in low light.,5,electronics,positive,camera quality is stunning photos come out crisp and vibrant even in low light,"['camera', 'quality', 'stunning', 'photo', 'come', 'crisp', 'vibrant', 'even', 'low', 'light']",camera quality stunning photo come crisp vibrant even low light,positive,0.5994,"['camera', 'build_quality', 'software']","{'camera': 'positive', 'build_quality': 'positive', 'software': 'neutral'}"
25,Noise cancellation is top notch. Perfect for working from home.,5,electronics,positive,noise cancellation is top notch perfect for working from home,"['noise', 'cancellation', 'top', 'notch', 'perfect', 'working', 'home']",noise cancellation top notch perfect working home,positive,0.6705,['audio'],{'audio': 'positive'}
26,Camera is blurry and washed out. Terrible in any lighting condition.,2,electronics,negative,camera is blurry and washed out terrible in any lighting condition,"['camera', 'blurry', 'washed', 'terrible', 'lighting', 'condition']",camera blurry washed terrible lighting condition,negative,0.5423,['camera'],{'camera': 'negative'}
27,Waterproofing works great. Survived a full submersion.,5,electronics,positive,waterproofing works great survived a full submersion,"['waterproofing', 'work', 'great', 'survived', 'full', 'submersion']",waterproofing work great survived full submersion,positive,0.8126,['general'],{'general': 'neutral'}
28,Excellent build quality. Feels like it will last for years.,5,electronics,positive,excellent build quality feels like it will last for years,"['excellent', 'build', 'quality', 'feel', 'like', 'last', 'year']",excellent build quality feel like last year,positive,0.7351,"['build_quality', 'software']","{'build_quality': 'positive', 'software': 'neutral'}"
29,The product description was misleading. Not what I expected.,2,electronics,negative,the product description was misleading not what i expected,"['product', 'description', 'misleading', 'not', 'expected']",product description misleading not expected,negative,0.4019,['general'],{'general': 'neutral'}
30,The touchscreen is unresponsive in cold weather. Major design flaw.,2,electronics,negative,the touchscreen is unresponsive in cold weather major design flaw,"['touchscreen', 'unresponsive', 'cold', 'weather', 'major', 'design', 'flaw']",touchscreen unresponsive cold weather major design flaw,neutral,1.0,"['display', 'design']","{'display': 'neutral', 'design': 'negative'}"
31,Good value but the packaging was damaged on arrival.,3,electronics,neutral,good value but the packaging was damaged on arrival,"['good', 'value', 'packaging', 'damaged', 'arrival']",good value packaging damaged arrival,negative,0.296,"['value', 'delivery']","{'value': 'neutral', 'delivery': 'neutral'}"
32,Device overheats constantly during normal usage. Gets dangerously hot.,1,electronics,negative,device overheats constantly during normal usage gets dangerously hot,"['device', 'overheats', 'constantly', 'normal', 'usage', 'get', 'dangerously', 'hot']",device overheats constantly normal usage get dangerously hot,negative,0.4588,['general'],{'general': 'neutral'}
33,Works well most of the time but occasionally freezes randomly.,3,electronics,neutral,works well most of the time but occasionally freezes randomly,"['work', 'well', 'time', 'occasionally', 'freeze', 'randomly']",work well time occasionally freeze randomly,neutral,0.7882,"['performance', 'software']","{'performance': 'neutral', 'software': 'neutral'}"
34,Battery charges quickly and holds charge well. Very satisfied.,4,electronics,positive,battery charges quickly and holds charge well very satisfied,"['battery', 'charge', 'quickly', 'hold', 'charge', 'well', 'satisfied']",battery charge quickly hold charge well satisfied,positive,0.4754,"['battery', 'software']","{'battery': 'positive', 'software': 'neutral'}"
35,Bluetooth keeps disconnecting every few minutes. Very frustrating.,2,electronics,negative,bluetooth keeps disconnecting every few minutes very frustrating,"['bluetooth', 'keep', 'disconnecting', 'every', 'minute', 'frustrating']",bluetooth keep disconnecting every minute frustrating,negative,0.4927,['connectivity'],{'connectivity': 'neutral'}
36,The battery life on this phone is absolutely incredible. Lasts two full days!,5,electronics,positive,the battery life on this phone is absolutely incredible lasts two full days,"['battery', 'life', 'phone', 'absolutely', 'incredible', 'last', 'two', 'full', 'day']",battery life phone absolutely incredible last two full day,neutral,1.0,['battery'],{'battery': 'positive'}
37,The warranty process was a nightmare. Took 6 weeks to resolve.,1,electronics,negative,the warranty process was a nightmare took weeks to resolve,"['warranty', 'process', 'nightmare', 'took', 'week', 'resolve']",warranty process nightmare took week resolve,positive,0.3818,['customer_service'],{'customer_service': 'neutral'}
38,Battery drains within 4 hours. Completely unusable for a full day.,1,electronics,negative,battery drains within hours completely unusable for a full day,"['battery', 'drain', 'within', 'hour', 'completely', 'unusable', 'full', 'day']",battery drain within hour completely unusable full day,neutral,1.0,['battery'],{'battery': 'negative'}
39,The product description was misleading. Not what I expected.,2,electronics,negative,the product description was misleading not what i expected,"['product', 'description', 'misleading', 'not', 'expected']",product description misleading not expected,negative,0.4019,['general'],{'general': 'neutral'}
40,Excellent features but the instruction manual is confusing.,3,electronics,neutral,excellent features but the instruction manual is confusing,"['excellent', 'feature', 'instruction', 'manual', 'confusing']",excellent feature instruction manual confusing,neutral,1.0,['software'],{'software': 'neutral'}
41,Sound quality is excellent but the build feels cheap and plasticky.,3,electronics,neutral,sound quality is excellent but the build feels cheap and plasticky,"['sound', 'quality', 'excellent', 'build', 'feel', 'cheap', 'plasticky']",sound quality excellent build feel cheap plasticky,positive,0.3291,"['build_quality', 'software', 'audio', 'value']","{'build_quality': 'neutral', 'software': 'neutral', 'audio': 'neutral', 'value': 'neutral'}"
42,Bluetooth keeps disconnecting every few minutes. Very frustrating.,2,electronics,negative,bluetooth keeps disconnecting every few minutes very frustrating,"['bluetooth', 'keep', 'disconnecting', 'every', 'minute', 'frustrating']",bluetooth keep disconnecting every minute frustrating,negative,0.4927,['connectivity'],{'connectivity': 'neutral'}
43,Great value for the price. Performs as well as much more expensive models.,5,electronics,positive,great value for the price performs as well as much more expensive models,"['great', 'value', 'price', 'performs', 'well', 'much', 'expensive', 'model']",great value price performs well much expensive model,positive,0.8225,['value'],{'value': 'positive'}
44,Customer service was rude and unhelpful. Refused to honor the warranty.,1,electronics,negative,customer service was rude and unhelpful refused to honor the warranty,"['customer', 'service', 'rude', 'unhelpful', 'refused', 'honor', 'warranty']",customer service rude unhelpful refused honor warranty,negative,0.25,['customer_service'],{'customer_service': 'negative'}
45,The warranty process was a nightmare. Took 6 weeks to resolve.,1,electronics,negative,the warranty process was a nightmare took weeks to resolve,"['warranty', 'process', 'nightmare', 'took', 'week', 'resolve']",warranty process nightmare took week resolve,positive,0.3818,['customer_service'],{'customer_service': 'neutral'}
46,Sound quality is excellent but the build feels cheap and plasticky.,3,electronics,neutral,sound quality is excellent but the build feels cheap and plasticky,"['sound', 'quality', 'excellent', 'build', 'feel', 'cheap', 'plasticky']",sound quality excellent build feel cheap plasticky,positive,0.3291,"['build_quality', 'software', 'audio', 'value']","{'build_quality': 'neutral', 'software': 'neutral', 'audio': 'neutral', 'value': 'neutral'}"
47,Customer support was incredibly helpful and resolved my issue quickly.,5,electronics,positive,customer support was incredibly helpful and resolved my issue quickly,"['customer', 'support', 'incredibly', 'helpful', 'resolved', 'issue', 'quickly']",customer support incredibly helpful resolved issue quickly,positive,0.7755,"['software', 'customer_service']","{'software': 'neutral', 'customer_service': 'positive'}"
48,The screen resolution is gorgeous. Colors are vivid and sharp.,4,electronics,positive,the screen resolution is gorgeous colors are vivid and sharp,"['screen', 'resolution', 'gorgeous', 'color', 'vivid', 'sharp']",screen resolution gorgeous color vivid sharp,positive,0.6124,"['display', 'design']","{'display': 'positive', 'design': 'neutral'}"
49,Display is beautiful but the device runs very hot under load.,3,electronics,neutral,display is beautiful but the device runs very hot under load,"['display', 'beautiful', 'device', 'run', 'hot', 'load']",display beautiful device run hot load,positive,0.3506,['display'],{'display': 'neutral'}
50,Customer support was incredibly helpful and resolved my issue quickly.,5,electronics,positive,customer support was incredibly helpful and resolved my issue quickly,"['customer', 'support', 'incredibly', 'helpful', 'resolved', 'issue', 'quickly']",customer support incredibly helpful resolved issue quickly,positive,0.7755,"['software', 'customer_service']","{'software': 'neutral', 'customer_service': 'positive'}"
51,Fast performance overall but the software has some annoying bugs.,3,electronics,neutral,fast performance overall but the software has some annoying bugs,"['fast', 'performance', 'overall', 'software', 'annoying', 'bug']",fast performance overall software annoying bug,negative,0.5499,"['performance', 'software']","{'performance': 'positive', 'software': 'neutral'}"
52,Fast performance overall but the software has some annoying bugs.,3,electronics,neutral,fast performance overall but the software has some annoying bugs,"['fast', 'performance', 'overall', 'software', 'annoying', 'bug']",fast performance overall software annoying bug,negative,0.5499,"['performance', 'software']","{'performance': 'positive', 'software': 'neutral'}"
53,The microphone picks up too much background noise during calls.,2,electronics,negative,the microphone picks up too much background noise during calls,"['microphone', 'pick', 'much', 'background', 'noise', 'call']",microphone pick much background noise call,neutral,1.0,['audio'],{'audio': 'neutral'}
54,Software crashes multiple times a day. Completely unreliable.,1,electronics,negative,software crashes multiple times a day completely unreliable,"['software', 'crash', 'multiple', 'time', 'day', 'completely', 'unreliable']",software crash multiple time day completely unreliable,neutral,1.0,"['performance', 'software']","{'performance': 'neutral', 'software': 'neutral'}"
55,Setup was super easy and the interface is very intuitive.,4,electronics,positive,setup was super easy and the interface is very intuitive,"['setup', 'super', 'easy', 'interface', 'intuitive']",setup super easy interface intuitive,positive,0.7783,['software'],{'software': 'positive'}
56,Buttons are stiff and hard to press. Poor ergonomics.,2,electronics,negative,buttons are stiff and hard to press poor ergonomics,"['button', 'stiff', 'hard', 'press', 'poor', 'ergonomics']",button stiff hard press poor ergonomics,negative,0.5423,['design'],{'design': 'neutral'}
57,Nice design and good performance but the price is a bit high.,3,electronics,neutral,nice design and good performance but the price is a bit high,"['nice', 'design', 'good', 'performance', 'price', 'bit', 'high']",nice design good performance price bit high,positive,0.431,"['performance', 'value', 'design']","{'performance': 'positive', 'value': 'positive', 'design': 'positive'}"
58,The touchscreen is unresponsive in cold weather. Major design flaw.,2,electronics,negative,the touchscreen is unresponsive in cold weather major design flaw,"['touchscreen', 'unresponsive', 'cold', 'weather', 'major', 'design', 'flaw']",touchscreen unresponsive cold weather major design flaw,neutral,1.0,"['display', 'design']","{'display': 'neutral', 'design': 'negative'}"
59,Build quality feels premium. Solid and durable construction.,4,electronics,positive,build quality feels premium solid and durable construction,"['build', 'quality', 'feel', 'premium', 'solid', 'durable', 'construction']",build quality feel premium solid durable construction,neutral,0.8469,"['build_quality', 'software']","{'build_quality': 'positive', 'software': 'neutral'}"
60,Display is beautiful but the device runs very hot under load.,3,electronics,neutral,display is beautiful but the device runs very hot under load,"['display', 'beautiful', 'device', 'run', 'hot', 'load']",display beautiful device run hot load,positive,0.3506,['display'],{'display': 'neutral'}
61,The screen resolution is gorgeous. Colors are vivid and sharp.,4,electronics,positive,the screen resolution is gorgeous colors are vivid and sharp,"['screen', 'resolution', 'gorgeous', 'color', 'vivid', 'sharp']",screen resolution gorgeous color vivid sharp,positive,0.6124,"['display', 'design']","{'display': 'positive', 'design': 'neutral'}"
62,Noise cancellation is top notch. Perfect for working from home.,5,electronics,positive,noise cancellation is top notch perfect for working from home,"['noise', 'cancellation', 'top', 'notch', 'perfect', 'working', 'home']",noise cancellation top notch perfect working home,positive,0.6705,['audio'],{'audio': 'positive'}
63,The product stopped working after one month. Total waste of money.,1,electronics,negative,the product stopped working after one month total waste of money,"['product', 'stopped', 'working', 'one', 'month', 'total', 'waste', 'money']",product stopped working one month total waste money,negative,0.5719,['value'],{'value': 'neutral'}
64,The app crashes every time I try to sync data.,1,electronics,negative,the app crashes every time i try to sync data,"['app', 'crash', 'every', 'time', 'try', 'sync', 'data']",app crash every time try sync data,neutral,1.0,"['performance', 'software', 'connectivity']","{'performance': 'neutral', 'software': 'negative', 'connectivity': 'negative'}"
65,Lightweight and comfortable to wear for long periods.,4,electronics,positive,lightweight and comfortable to wear for long periods,"['lightweight', 'comfortable', 'wear', 'long', 'period']",lightweight comfortable wear long period,positive,0.5106,['design'],{'design': 'neutral'}
66,Love the design but the charging takes forever. Over 3 hours.,3,electronics,neutral,love the design but the charging takes forever over hours,"['love', 'design', 'charging', 'take', 'forever', 'hour']",love design charging take forever hour,positive,0.3818,"['battery', 'design']","{'battery': 'positive', 'design': 'positive'}"
67,Arrived with a scratch on the screen. Disappointed with QC.,2,electronics,negative,arrived with a scratch on the screen disappointed with qc,"['arrived', 'scratch', 'screen', 'disappointed']",arrived scratch screen disappointed,negative,0.4767,"['display', 'software', 'delivery']","{'display': 'negative', 'software': 'neutral', 'delivery': 'negative'}"
68,Camera is blurry and washed out. Terrible in any lighting condition.,2,electronics,negative,camera is blurry and washed out terrible in any lighting condition,"['camera', 'blurry', 'washed', 'terrible', 'lighting', 'condition']",camera blurry washed terrible lighting condition,negative,0.5423,['camera'],{'camera': 'negative'}
69,Waterproofing works great. Survived a full submersion.,5,electronics,positive,waterproofing works great survived a full submersion,"['waterproofing', 'work', 'great', 'survived', 'full', 'submersion']",waterproofing work great survived full submersion,positive,0.8126,['general'],{'general': 'neutral'}
70,"Sound quality on these headphones is phenomenal. Deep bass, clear highs.",5,electronics,positive,sound quality on these headphones is phenomenal deep bass clear highs,"['sound', 'quality', 'headphone', 'phenomenal', 'deep', 'bass', 'clear', 'high']",sound quality headphone phenomenal deep bass clear high,positive,0.3818,"['build_quality', 'audio']","{'build_quality': 'positive', 'audio': 'positive'}"
71,Setup was super easy and the interface is very intuitive.,4,electronics,positive,setup was super easy and the interface is very intuitive,"['setup', 'super', 'easy', 'interface', 'intuitive']",setup super easy interface intuitive,positive,0.7783,['software'],{'software': 'positive'}
72,Speaker quality is mediocre at best. Tinny and distorted at high volume.,2,electronics,negative,speaker quality is mediocre at best tinny and distorted at high volume,"['speaker', 'quality', 'mediocre', 'best', 'tinny', 'distorted', 'high', 'volume']",speaker quality mediocre best tinny distorted high volume,positive,0.3612,"['build_quality', 'audio']","{'build_quality': 'positive', 'audio': 'positive'}"
73,Device overheats constantly during normal usage. Gets dangerously hot.,1,electronics,negative,device overheats constantly during normal usage gets dangerously hot,"['device', 'overheats', 'constantly', 'normal', 'usage', 'get', 'dangerously', 'hot']",device overheats constantly normal usage get dangerously hot,negative,0.4588,['general'],{'general': 'neutral'}
74,Incredible value. Outperforms products twice the price.,5,electronics,positive,incredible value outperforms products twice the price,"['incredible', 'value', 'outperforms', 'product', 'twice', 'price']",incredible value outperforms product twice price,positive,0.34,['value'],{'value': 'positive'}
75,The product stopped working after one month. Total waste of money.,1,electronics,negative,the product stopped working after one month total waste of money,"['product', 'stopped', 'working', 'one', 'month', 'total', 'waste', 'money']",product stopped working one month total waste money,negative,0.5719,['value'],{'value': 'neutral'}
76,The screen resolution is gorgeous. Colors are vivid and sharp.,4,electronics,positive,the screen resolution is gorgeous colors are vivid and sharp,"['screen', 'resolution', 'gorgeous', 'color', 'vivid', 'sharp']",screen resolution gorgeous color vivid sharp,positive,0.6124,"['display', 'design']","{'display': 'positive', 'design': 'neutral'}"
77,Device overheats constantly during normal usage. Gets dangerously hot.,1,electronics,negative,device overheats constantly during normal usage gets dangerously hot,"['device', 'overheats', 'constantly', 'normal', 'usage', 'get', 'dangerously', 'hot']",device overheats constantly normal usage get dangerously hot,negative,0.4588,['general'],{'general': 'neutral'}
78,Customer support was incredibly helpful and resolved my issue quickly.,5,electronics,positive,customer support was incredibly helpful and resolved my issue quickly,"['customer', 'support', 'incredibly', 'helpful', 'resolved', 'issue', 'quickly']",customer support incredibly helpful resolved issue quickly,positive,0.7755,"['software', 'customer_service']","{'software': 'neutral', 'customer_service': 'positive'}"
79,Display is beautiful but the device runs very hot under load.,3,electronics,neutral,display is beautiful but the device runs very hot under load,"['display', 'beautiful', 'device', 'run', 'hot', 'load']",display beautiful device run hot load,positive,0.3506,['display'],{'display': 'neutral'}
80,Bluetooth keeps disconnecting every few minutes. Very frustrating.,2,electronics,negative,bluetooth keeps disconnecting every few minutes very frustrating,"['bluetooth', 'keep', 'disconnecting', 'every', 'minute', 'frustrating']",bluetooth keep disconnecting every minute frustrating,negative,0.4927,['connectivity'],{'connectivity': 'neutral'}
81,Nice design and good performance but the price is a bit high.,3,electronics,neutral,nice design and good performance but the price is a bit high,"['nice', 'design', 'good', 'performance', 'price', 'bit', 'high']",nice design good performance price bit high,positive,0.431,"['performance', 'value', 'design']","{'performance': 'positive', 'value': 'positive', 'design': 'positive'}"
82,The app crashes every time I try to sync data.,1,electronics,negative,the app crashes every time i try to sync data,"['app', 'crash', 'every', 'time', 'try', 'sync', 'data']",app crash every time try sync data,neutral,1.0,"['performance', 'software', 'connectivity']","{'performance': 'neutral', 'software': 'negative', 'connectivity': 'negative'}"
83,Love the design but the charging takes forever. Over 3 hours.,3,electronics,neutral,love the design but the charging takes forever over hours,"['love', 'design', 'charging', 'take', 'forever', 'hour']",love design charging take forever hour,positive,0.3818,"['battery', 'design']","{'battery': 'positive', 'design': 'positive'}"
84,Battery drains within 4 hours. Completely unusable for a full day.,1,electronics,negative,battery drains within hours completely unusable for a full day,"['battery', 'drain', 'within', 'hour', 'completely', 'unusable', 'full', 'day']",battery drain within hour completely unusable full day,neutral,1.0,['battery'],{'battery': 'negative'}
85,Love the design but the charging takes forever. Over 3 hours.,3,electronics,neutral,love the design but the charging takes forever over hours,"['love', 'design', 'charging', 'take', 'forever', 'hour']",love design charging take forever hour,positive,0.3818,"['battery', 'design']","{'battery': 'positive', 'design': 'positive'}"
86,Fast performance overall but the software has some annoying bugs.,3,electronics,neutral,fast performance overall but the software has some annoying bugs,"['fast', 'performance', 'overall', 'software', 'annoying', 'bug']",fast performance overall software annoying bug,negative,0.5499,"['performance', 'software']","{'performance': 'positive', 'software': 'neutral'}"
87,Customer service was rude and unhelpful. Refused to honor the warranty.,1,electronics,negative,customer service was rude and unhelpful refused to honor the warranty,"['customer', 'service', 'rude', 'unhelpful', 'refused', 'honor', 'warranty']",customer service rude unhelpful refused honor warranty,negative,0.25,['customer_service'],{'customer_service': 'negative'}
88,Speaker quality is mediocre at best. Tinny and distorted at high volume.,2,electronics,negative,speaker quality is mediocre at best tinny and distorted at high volume,"['speaker', 'quality', 'mediocre', 'best', 'tinny', 'distorted', 'high', 'volume']",speaker quality mediocre best tinny distorted high volume,positive,0.3612,"['build_quality', 'audio']","{'build_quality': 'positive', 'audio': 'positive'}"
89,Bluetooth keeps disconnecting every few minutes. Very frustrating.,2,electronics,negative,bluetooth keeps disconnecting every few minutes very frustrating,"['bluetooth', 'keep', 'disconnecting', 'every', 'minute', 'frustrating']",bluetooth keep disconnecting every minute frustrating,negative,0.4927,['connectivity'],{'connectivity': 'neutral'}
90,The product description was misleading. Not what I expected.,2,electronics,negative,the product description was misleading not what i expected,"['product', 'description', 'misleading', 'not', 'expected']",product description misleading not expected,negative,0.4019,['general'],{'general': 'neutral'}
91,Very intuitive controls. No learning curve at all.,4,electronics,positive,very intuitive controls no learning curve at all,"['intuitive', 'control', 'learning', 'curve']",intuitive control learning curve,negative,0.3535,['software'],{'software': 'neutral'}
92,Excellent build quality. Feels like it will last for years.,5,electronics,positive,excellent build quality feels like it will last for years,"['excellent', 'build', 'quality', 'feel', 'like', 'last', 'year']",excellent build quality feel like last year,positive,0.7351,"['build_quality', 'software']","{'build_quality': 'positive', 'software': 'neutral'}"
93,"Sound quality on these headphones is phenomenal. Deep bass, clear highs.",5,electronics,positive,sound quality on these headphones is phenomenal deep bass clear highs,"['sound', 'quality', 'headphone', 'phenomenal', 'deep', 'bass', 'clear', 'high']",sound quality headphone phenomenal deep bass clear high,positive,0.3818,"['build_quality', 'audio']","{'build_quality': 'positive', 'audio': 'positive'}"
94,The microphone picks up too much background noise during calls.,2,electronics,negative,the microphone picks up too much background noise during calls,"['microphone', 'pick', 'much', 'background', 'noise', 'call']",microphone pick much background noise call,neutral,1.0,['audio'],{'audio': 'neutral'}
95,The app crashes every time I try to sync data.,1,electronics,negative,the app crashes every time i try to sync data,"['app', 'crash', 'every', 'time', 'try', 'sync', 'data']",app crash every time try sync data,neutral,1.0,"['performance', 'software', 'connectivity']","{'performance': 'neutral', 'software': 'negative', 'connectivity': 'negative'}"
96,Battery drains within 4 hours. Completely unusable for a full day.,1,electronics,negative,battery drains within hours completely unusable for a full day,"['battery', 'drain', 'within', 'hour', 'completely', 'unusable', 'full', 'day']",battery drain within hour completely unusable full day,neutral,1.0,['battery'],{'battery': 'negative'}
97,The touchscreen is unresponsive in cold weather. Major design flaw.,2,electronics,negative,the touchscreen is unresponsive in cold weather major design flaw,"['touchscreen', 'unresponsive', 'cold', 'weather', 'major', 'design', 'flaw']",touchscreen unresponsive cold weather major design flaw,neutral,1.0,"['display', 'design']","{'display': 'neutral', 'design': 'negative'}"
98,Buttons are stiff and hard to press. Poor ergonomics.,2,electronics,negative,buttons are stiff and hard to press poor ergonomics,"['button', 'stiff', 'hard', 'press', 'poor', 'ergonomics']",button stiff hard press poor ergonomics,negative,0.5423,['design'],{'design': 'neutral'}
99,Screen cracked after a minor drop. Very fragile build quality.,2,electronics,negative,screen cracked after a minor drop very fragile build quality,"['screen', 'cracked', 'minor', 'drop', 'fragile', 'build', 'quality']",screen cracked minor drop fragile build quality,negative,0.2732,"['display', 'build_quality', 'software']","{'display': 'negative', 'build_quality': 'negative', 'software': 'neutral'}"
100,Battery drains within 4 hours. Completely unusable for a full day.,1,electronics,negative,battery drains within hours completely unusable for a full day,"['battery', 'drain', 'within', 'hour', 'completely', 'unusable', 'full', 'day']",battery drain within hour completely unusable full day,neutral,1.0,['battery'],{'battery': 'negative'}
